Problem,Average Fitness HC,Average Fitness HCRR,Average Fitness SA,Average Fitness GRASP
file:f1-size:10-opt:295.0,294.0,294.0,294.0,294.0
file:f2-size:20-opt:1024.0,1024.0,1024.0,1024.0,1024.0
file:f3-size:4-opt:35.0,35.0,35.0,35.0,35.0
file:f4-size:4-opt:23.0,20.838709677419356,22.0,22.0,22.0
file:f5-size:15-opt:481.069368,447.6746369032258,481.06936800000017,481.06936800000017,481.0693680000001
file:f6-size:10-opt:52.0,52.0,52.0,52.0,52.0
file:f7-size:7-opt:107.0,87.25806451612904,102.0,102.0,102.0
file:f8-size:23-opt:9767.0,9747.870967741936,9765.548387096775,9744.967741935483,9767.0
file:f9-size:5-opt:130.0,130.0,130.0,130.0,130.0
file:f10-size:20-opt:1025.0,1025.0,1025.0,1025.0,1025.0
file:Knapsack1-size:30-opt:99798.0,98183.3870967742,99798.0,98185.64516129032,99798.0
file:Knapsack2-size:50-opt:142156.0,139082.12903225806,141179.5483870968,139184.12903225806,141617.12903225806
file:Knapsack3-size:200-opt:100236.0,100135.35483870968,100223.41935483871,100122.7741935484,100236.0
file:Knapsack4-size:400-opt:3967180.0,3951877.870967742,3959898.64516129,3951777.193548387,3964083.6774193547
file:Knapsack5-size:1000-opt:109899.0,106615.16129032258,107675.09677419355,106166.32258064517,108547.70967741935
file:Knapsack6-size:10000-opt:1099893.0,1073532.1935483871,1078258.677419355,1070934.935483871,1086610.677419355
